2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:31:<module>:INFO: Started crawler
2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:100:<module>:INFO: Crawling for: ['waltmossberg']
2012-04-10 11:19:18,322:twitter_crawl_friends_and_followers:56:crawl:INFO: Getting user info
2012-04-10 11:19:18,322:twitter__util:110:getUserInfo:DEBUG: entering
2012-04-10 11:19:18,322:twitter__util:119:getUserInfo:INFO: Retrieving user info for 1 screen names and 0 user ids
2012-04-10 11:19:18,322:twitter__util:123:getUserInfo:DEBUG: screen_name while loop: Found 1 screen names
2012-04-10 11:19:18,322:twitter__util:126:getUserInfo:DEBUG: waltmossberg
2012-04-10 11:19:18,323:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:144:getUserInfo:INFO: Completed user info search for 1 screen names
2012-04-10 11:19:18,780:twitter__util:80:_getFriendsOrFollowersUsingFunc:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:86:_getFriendsOrFollowersUsingFunc:DEBUG: while loop: cursor = -1
2012-04-10 11:19:18,781:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:19,116:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 767
2012-04-10 11:19:19,117:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 18814041
2012-04-10 11:19:19,117:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 10121422
2012-04-10 11:19:19,117:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 77314430
2012-04-10 11:19:19,118:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 43717060
2012-04-10 11:19:19,118:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 39799180
2012-04-10 11:19:19,118:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19968995
2012-04-10 11:19:19,119:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 50231045
2012-04-10 11:19:19,119:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 48459536
2012-04-10 11:19:19,119:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 18271917
2012-04-10 11:19:19,120:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 8632782
2012-04-10 11:19:19,120:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 977111
2012-04-10 11:19:19,120:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14328066
2012-04-10 11:19:19,121:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17017636
2012-04-10 11:19:19,121:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 11666142
2012-04-10 11:19:19,128:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 22843337
2012-04-10 11:19:19,128:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 38038502
2012-04-10 11:19:19,128:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 18713
2012-04-10 11:19:19,129:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 24773177
2012-04-10 11:19:19,129:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 2396891
2012-04-10 11:19:19,130:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 50393960
2012-04-10 11:19:19,130:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19406070
2012-04-10 11:19:19,130:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19506790
2012-04-10 11:19:19,131:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 76170172
2012-04-10 11:19:19,131:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 76071907
2012-04-10 11:19:19,131:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15414807
2012-04-10 11:19:19,132:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 84359165
2012-04-10 11:19:19,132:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 36159095
2012-04-10 11:19:19,133:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16465359
2012-04-10 11:19:19,133:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 15066958
2012-04-10 11:19:19,133:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 1258741
2012-04-10 11:19:19,134:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14588748
2012-04-10 11:19:19,134:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16363793
2012-04-10 11:19:19,134:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16651486
2012-04-10 11:19:19,135:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16793287
2012-04-10 11:19:19,135:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14434063
